card_id,bank,name,severity,failed_checks,annual_fee,forex,finance_pm,apply_url_status,source_section
axis-neo-credit-card,Axis,NEO Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); apply_url off-domain; no lounge; no badge,250,3.5,3.75,foreign-host:axis.bank.in,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.6), NEO Cre"
axis-platinum-credit-card,Axis,PLATINUM Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,200,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.7), PLATINU"
axis-pride-platinum-credit-card,Axis,PRIDE PLATINUM Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,250,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.7), PRIDE P"
axis-pride-signature-credit-card,Axis,PRIDE SIGNATURE Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,500,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.8), PRIDE S"
axis-privilege-credit-card,Axis,PRIVILEGE Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); apply_url off-domain; no badge,1500,3.5,3.75,foreign-host:axis.bank.in,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.6), PRIVILE"
axis-reserve-credit-card,Axis,RESERVE Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0),50000,1.5,3.75,ok-format,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.5), RESERVE"
axis-rewards-credit-card,Axis,REWARDS Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); apply_url off-domain; no badge,1000,3.5,3.75,foreign-host:axis.bank.in,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.8), REWARDS"
axis-samsung-axis-bank-infinite-credit-card,Axis,Samsung Axis Bank INFINITE Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,5000,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.3), Samsung"
axis-samsung-axis-bank-signature-credit-card,Axis,Samsung Axis Bank SIGNATURE Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,500,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.3), Samsung"
axis-select-credit-card,Axis,SELECT Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); apply_url off-domain,3000,3.5,3.75,foreign-host:axis.bank.in,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.4), SELECT "
axis-signature-credit-card-with-travel-benefits,Axis,SIGNATURE Credit Card with Travel Benefits,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,1000,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.6-7), SIGNA"
axis-spicejet-axis-bank-voyage-black-credit-card,Axis,SPICEJET AXIS BANK VOYAGE BLACK Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,2000,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.4), SPICEJE"
axis-spicejet-axis-bank-voyage-credit-card,Axis,SPICEJET AXIS BANK VOYAGE Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,750,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.4), SPICEJE"
axis-titanium-credit-card,Axis,TITANIUM Credit Card,BLOCKER,finance_pa 55.55∉0–55; pa≠pm×12 (55.55 vs 45.0); no apply_url; no rewards; no lounge; no badge,100,3.5,3.75,missing,"Schedule of Charges, 1. JOINING, ANNUAL and ADD-ON CARD FEE table (p.7), TITANIU"
bob-corporate-global,Bank of Baroda,Corporate Global,BLOCKER,apply_url off-domain,1000,3.5,3.75,foreign-host:bobcard.co.in,"TARIFF OF CHARGES, i. Joining Fee / First Year Fee table, Corporate Global row ("
bob-easy,Bank of Baroda,Easy,BLOCKER,apply_url off-domain; no lounge; no badge,500,3.5,3.75,foreign-host:bobcard.co.in,"TARIFF OF CHARGES, i. Joining Fee / First Year Fee table, Easy row; and ii. Annu"
bob-empower-business-card,Bank of Baroda,Empower Business Card,BLOCKER,apply_url off-domain; no lounge; no badge,500,3.5,3.75,foreign-host:bobcard.co.in,"TARIFF OF CHARGES, i. Joining Fee / First Year Fee table, Empower Business Card "
bob-eterna-eterna-fd-backed,Bank of Baroda,Eterna/Eterna (FD Backed),BLOCKER,apply_url off-domain,2499,3.5,3.75,foreign-host:bobcard.co.in,"TARIFF OF CHARGES, i. Joining Fee / First Year Fee table, Eterna/Eterna (FD Back"
bob-hpcl-energie,Bank of Baroda,HPCL Energie,BLOCKER,apply_url off-domain; no badge,499,3.5,3.75,foreign-host:bobcard.co.in,"TARIFF OF CHARGES, i. Joining Fee / First Year Fee table, HPCL Energie row (Rs.4"
bob-icai-exclusive,Bank of Baroda,ICAI Exclusive,BLOCKER,apply_url off-domain,0,3.5,3.75,foreign-host:bobcard.co.in,"Joining Fee intro table (ICAI Exclusive, NIL); and TARIFF OF CHARGES ii. Annual "
bob-icmai-one,Bank of Baroda,ICMAI One,BLOCKER,apply_url off-domain,0,3.5,3.75,foreign-host:bobcard.co.in,"TARIFF OF CHARGES, i. Joining Fee / First Year Fee table, ICMAI One row (Rs.1); "
bob-icsi-dimond,Bank of Baroda,ICSI Dimond,BLOCKER,apply_url off-domain,0,3.5,3.75,foreign-host:bobcard.co.in,"TARIFF OF CHARGES, i. Joining Fee / First Year Fee table, ICSI Dimond row; and i"
bob-irctc,Bank of Baroda,IRCTC,BLOCKER,apply_url off-domain; no badge,350,3.5,3.75,foreign-host:bobcard.co.in,"TARIFF OF CHARGES, i. Joining Fee / First Year Fee table, IRCTC row (Rs.500); an"
bob-pragati,Bank of Baroda,PRAGATI,BLOCKER,apply_url off-domain; no lounge; no badge,250,3.5,3.75,foreign-host:bobcard.co.in,"TARIFF OF CHARGES, i. Joining Fee / First Year Fee table, PRAGATI row (NIL); and"
bob-premier,Bank of Baroda,Premier,BLOCKER,apply_url off-domain,1000,3.5,3.75,foreign-host:bobcard.co.in,"TARIFF OF CHARGES, i. Joining Fee / First Year Fee table, Premier row; and ii. A"
bob-rakshamah,Bank of Baroda,Rakshamah,BLOCKER,apply_url off-domain; no badge,0,3.0,3.75,foreign-host:bobcard.co.in,"Joining Fee intro table (Rakshamah, NIL); and TARIFF OF CHARGES ii. Annual Fees "
bob-renaissance,Bank of Baroda,Renaissance,BLOCKER,apply_url off-domain; no lounge; no badge,250,3.5,3.75,foreign-host:bobcard.co.in,"TARIFF OF CHARGES, i. Joining Fee / First Year Fee table, Renaissance row (NIL);"
bob-select,Bank of Baroda,Select,BLOCKER,apply_url off-domain; no lounge; no badge,700,3.5,3.75,foreign-host:bobcard.co.in,"TARIFF OF CHARGES, i. Joining Fee / First Year Fee table, Select row; and ii. An"
bob-snapdeal,Bank of Baroda,Snapdeal,BLOCKER,apply_url off-domain; no lounge; no badge,249,3.5,3.75,foreign-host:bobcard.co.in,"TARIFF OF CHARGES, i. Joining Fee / First Year Fee table, Snapdeal row (Rs.249);"
bob-the-sentinel,Bank of Baroda,The Sentinel,BLOCKER,apply_url off-domain; no badge,0,3.0,3.75,foreign-host:bobcard.co.in,"Joining Fee intro table (The Sentinel, NIL); and TARIFF OF CHARGES ii. Annual Fe"
bob-tiara,Bank of Baroda,Tiara,BLOCKER,apply_url off-domain,2499,2,3.75,foreign-host:bobcard.co.in,"TARIFF OF CHARGES, i. Joining Fee / First Year Fee table, Tiara row; and ii. Ann"
bob-varunah,Bank of Baroda,Varunah,BLOCKER,apply_url off-domain; no lounge; no badge,0,3.5,3.75,foreign-host:bobcard.co.in,"Joining Fee intro table (Varunah, NIL); and TARIFF OF CHARGES ii. Annual Fees ta"
bob-varunah-plus,Bank of Baroda,Varunah Plus,BLOCKER,apply_url off-domain; no badge,1499,2.5,3.75,foreign-host:bobcard.co.in,"Joining Fee intro table (Varunah Plus, Rs.1,499, Rs.15,000 in 180 days); and TAR"
bob-varunah-premium,Bank of Baroda,Varunah Premium,BLOCKER,apply_url off-domain,2499,2,3.75,foreign-host:bobcard.co.in,"Joining Fee intro table (Varunah Premium, Rs.2,499, Rs.25,000 in 180 days); and "
bob-vikram,Bank of Baroda,Vikram,BLOCKER,apply_url off-domain; no lounge; no badge,0,3.0,3.75,foreign-host:bobcard.co.in,"Joining Fee intro table (Vikram, NIL); and TARIFF OF CHARGES ii. Annual Fees tab"
bob-yoddha,Bank of Baroda,Yoddha,BLOCKER,apply_url off-domain; no badge,0,3.0,3.75,foreign-host:bobcard.co.in,"Joining Fee intro table (Yoddha, NIL); and TARIFF OF CHARGES ii. Annual Fees tab"
federal-celesta,Federal Bank,Celesta,BLOCKER,apply_url off-domain,3000,2,3.75,foreign-host:creditcards.federalbank.co.in,"SCHEDULE OF CHARGES/TAXES table, Joining Fee / Annual Membership fee rows, Celes"
federal-imperio,Federal Bank,Imperio,BLOCKER,apply_url off-domain; no badge,1500,3.5,3.75,foreign-host:creditcards.federalbank.co.in,"SCHEDULE OF CHARGES/TAXES table, Joining Fee / Annual Membership fee rows, Imper"
federal-signet,Federal Bank,Signet,BLOCKER,apply_url off-domain; no badge,750,3.5,3.75,foreign-host:creditcards.federalbank.co.in,"SCHEDULE OF CHARGES/TAXES table, Joining Fee / Annual Membership fee rows, Signe"
federal-wave-card,Federal Bank,Wave Card,BLOCKER,apply_url off-domain; no lounge; no badge,199,3.5,3.75,foreign-host:creditcards.federalbank.co.in,"SCHEDULE OF CHARGES/TAXES table, Joining Fee 'NIL (for virtual cards) Rs 199/- ("
icici-accelero-icici-bank-credit-card,ICICI,Accelero ICICI Bank Credit Card,BLOCKER,CARVEOUT LEAK: cash_advance:“Times Black ICICI Bank Credit Card”; cash_advance:“ICICI Bank Emeralde Private Metal Credit Card”; cash_advance:“ICICI Bank Emeralde Private Credit Card”; cash_advance:“ICICI Bank Emeralde Credit Card”; no apply_url; no rewards; no lounge; no badge,499,3.5,3.75,missing,"Section I a)1. Joining/Annual/Supplementary Card Fees table p.3, Accelero ICICI "
icici-adani-one-icici-bank-platinum-credit-card,ICICI,Adani One ICICI Bank Platinum Credit Card,BLOCKER,bad network=Mastercard & American Express / Visa & RuPay (dual networks); apply_url off-domain; CARVEOUT LEAK: cash_advance:“Times Black ICICI Bank Credit Card”; cash_advance:“ICICI Bank Emeralde Private Metal Credit Card”; cash_advance:“ICICI Bank Emeralde Private Credit Card”; cash_advance:“ICICI Bank Emeralde Credit Card”; no badge,750,3.5,3.75,foreign-host:icici.bank.in,"Section I a)1. Joining/Annual/Supplementary Card Fees table p.2, Adani One ICICI"
icici-adani-one-icici-bank-signature-credit-card,ICICI,Adani One ICICI Bank Signature Credit Card,BLOCKER,bad network=Mastercard & American Express / Visa & RuPay (dual networks); apply_url off-domain; CARVEOUT LEAK: cash_advance:“Times Black ICICI Bank Credit Card”; cash_advance:“ICICI Bank Emeralde Private Metal Credit Card”; cash_advance:“ICICI Bank Emeralde Private Credit Card”; cash_advance:“ICICI Bank Emeralde Credit Card”,5000,3.5,3.75,foreign-host:icici.bank.in,"Section I a)1. Joining/Annual/Supplementary Card Fees table p.2, Adani One ICICI"
icici-amazon-pay-icici-bank-credit-card,ICICI,Amazon Pay ICICI Bank Credit Card,BLOCKER,apply_url off-domain; CARVEOUT LEAK: cash_advance:“Times Black ICICI Bank Credit Card”; cash_advance:“ICICI Bank Emeralde Private Metal Credit Card”; cash_advance:“ICICI Bank Emeralde Private Credit Card”; cash_advance:“ICICI Bank Emeralde Credit Card”; no lounge; no badge,0,1.99,3.75,foreign-host:icici.bank.in,"Section I a)1. Joining/Annual/Supplementary Card Fees table p.4, Amazon Pay ICIC"
icici-chennai-super-kings-icici-bank-credit-card,ICICI,Chennai Super Kings ICICI Bank Credit Card,BLOCKER,apply_url off-domain; CARVEOUT LEAK: cash_advance:“Times Black ICICI Bank Credit Card”; cash_advance:“ICICI Bank Emeralde Private Metal Credit Card”; cash_advance:“ICICI Bank Emeralde Private Credit Card”; cash_advance:“ICICI Bank Emeralde Credit Card”; no rewards; no lounge; no badge,500,3.5,3.75,foreign-host:icici.bank.in,"Section I a)1. Joining/Annual/Supplementary Card Fees table p.2, Chennai Super K"
icici-emirates-skywards-icici-bank-emerald-credit-card,ICICI,Emirates Skywards ICICI Bank Emerald Credit Card,BLOCKER,apply_url off-domain; CARVEOUT LEAK: cash_advance:“Times Black ICICI Bank Credit Card”; cash_advance:“ICICI Bank Emeralde Private Metal Credit Card”; cash_advance:“ICICI Bank Emeralde Private Credit Card”; cash_advance:“ICICI Bank Emeralde Credit Card”,10000,3.5,3.75,foreign-host:icici.bank.in,"Section I a)1. Joining/Annual/Supplementary Card Fees table p.3, Emirates Skywar"
icici-emirates-skywards-icici-bank-rubyx-credit-card,ICICI,Emirates Skywards ICICI Bank Rubyx Credit Card,BLOCKER,apply_url off-domain; CARVEOUT LEAK: cash_advance:“Times Black ICICI Bank Credit Card”; cash_advance:“ICICI Bank Emeralde Private Metal Credit Card”; cash_advance:“ICICI Bank Emeralde Private Credit Card”; cash_advance:“ICICI Bank Emeralde Credit Card”; no badge,1000,3.5,3.75,foreign-host:icici.bank.in,"Section I a)1. Joining/Annual/Supplementary Card Fees table p.4, Emirates Skywar"
icici-emirates-skywards-icici-bank-sapphiro-credit-card,ICICI,Emirates Skywards ICICI Bank Sapphiro Credit Card,BLOCKER,apply_url off-domain; CARVEOUT LEAK: cash_advance:“Times Black ICICI Bank Credit Card”; cash_advance:“ICICI Bank Emeralde Private Metal Credit Card”; cash_advance:“ICICI Bank Emeralde Private Credit Card”; cash_advance:“ICICI Bank Emeralde Credit Card”,5000,3.5,3.75,foreign-host:icici.bank.in,"Section I a)1. Joining/Annual/Supplementary Card Fees table p.3, Emirates Skywar"
