card_id,bank,name,type,category,joining_fee,annual_fee,fee_waiver,forex,finance_pm,finance_pa,cash_advance,cash_interest,late_fee,network,network_confidence,rewards,lounge,badge,apply_url,match_status,data_status,source_section,source_url
hdfc-diners-club-miles,HDFC,Diners Club Miles,retail,,,,,3.5,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Diners Club,high,,,,,unmatched,needs_review,"Fee table p.3, Diners Club Miles row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-diners-privilege,HDFC,Diners Privilege,retail,premium,1000,1000,₹3 Lakh / Annum,,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Diners Club,high,"4 Reward Points per Rs.150 retail spends; 5X Reward Points on Swiggy and Zomato (additional 4X capped at 2,500 RP per calendar month)","Priority Pass membership; 2 complimentary airport lounge accesses per calendar quarter worldwide (on spends of Rs.15,000 in previous quarter) for primary and add-on members",premium,https://www.hdfc.bank.in/credit-cards/diners-privilege-credit-card,matched,needs_review,"Fee table p.3, Diners Privilege row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-regalia,HDFC,Regalia,retail,premium,2500,2500,₹3 Lakh / Annum,,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Visa/Mastercard/Diners Club,medium,,,premium,https://www.hdfc.bank.in/credit-cards/regalia-credit-card,low_confidence,needs_review,"Fee table p.3, Regalia / Regalia Activ / Business Regalia / Diners Club Premium / Doctor's Regalia row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-regalia-activ,HDFC,Regalia Activ,retail,premium,2500,2500,₹3 Lakh / Annum,,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Visa/Mastercard/Diners Club,medium,,,premium,https://www.hdfc.bank.in/credit-cards/regalia-credit-card,low_confidence,needs_review,"Fee table p.3, Regalia / Regalia Activ / Business Regalia / Diners Club Premium / Doctor's Regalia row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-business-regalia,HDFC,Business Regalia,business,premium,2500,2500,₹3 Lakh / Annum,,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Visa/Mastercard/Diners Club,medium,,,premium,https://www.hdfc.bank.in/credit-cards/regalia-credit-card,low_confidence,needs_review,"Fee table p.3, Regalia / Regalia Activ / Business Regalia / Diners Club Premium / Doctor's Regalia row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-diners-club-premium,HDFC,Diners Club Premium,retail,premium,2500,2500,₹3 Lakh / Annum,,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Visa/Mastercard/Diners Club,medium,,,premium,https://www.hdfc.bank.in/credit-cards/regalia-credit-card,low_confidence,needs_review,"Fee table p.3, Regalia / Regalia Activ / Business Regalia / Diners Club Premium / Doctor's Regalia row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-doctor-s-regalia,HDFC,Doctor's Regalia,retail,premium,2500,2500,₹3 Lakh / Annum,,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Visa/Mastercard/Diners Club,medium,,,premium,https://www.hdfc.bank.in/credit-cards/regalia-credit-card,low_confidence,needs_review,"Fee table p.3, Regalia / Regalia Activ / Business Regalia / Diners Club Premium / Doctor's Regalia row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-6e-rewards-indigo,HDFC,6E Rewards Indigo,retail,,500,500,,,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Visa,medium,,,,,unmatched,needs_review,"Fee table p.3, 6E Rewards Indigo row (waiver NA)",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-hdfc-bank-upi-rupay-hdfc-bank-upi-rupay-biz-hdfc-bank-upi-rupay-mega-saver-credit-card,HDFC,HDFC Bank UPI RuPay / HDFC Bank UPI RuPay Biz / HDFC Bank UPI RuPay Mega Saver Credit Card,business,entry,99,99,"₹25,000 / Annum",,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",RuPay,high,"3% CashPoints on Groceries, SuperMarket, Dining and PayZapp transactions; 2% on utility spends; 1% on other spends (max 500 CashPoints per category per month); 1 CashPoint = Rs.0.25",,,https://www.hdfc.bank.in/credit-cards/hdfc-bank-upi-rupay-credit-card,matched,needs_review,"Fee table p.3, HDFC Bank UPI RuPay / UPI RuPay Biz / UPI RuPay Mega Saver row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-easy-emi,HDFC,Easy EMI,retail,,500,500,"₹50,000 / Annum",,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Visa/Mastercard,low,,,,,unmatched,needs_review,"Fee table p.3, Easy EMI row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-business-platinum,HDFC,Business Platinum,business,,0,0,"₹30,000 / Annum",,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Visa/Mastercard,low,,,,,unmatched,needs_review,"Fee table p.3, Business Platinum row (Free)",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-times-platinum-times-card-credit-platinum,HDFC,Times Platinum / Times Card Credit Platinum,retail,,1000,1000,₹2.5 lakh / Annum,,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Visa/Mastercard,low,,,,,unmatched,needs_review,"Fee table p.3, Times Platinum / Times Card Credit Platinum row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-equitas-elegance,HDFC,Equitas Elegance,retail,,,,,,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",RuPay,low,,,,,unmatched,needs_review,"Fee table p.3, Equitas Elegance row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-millennia,HDFC,Millennia,retail,mid_tier,,,₹1 Lakh / Annum,,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Visa/Mastercard,high,"5% cashback on select online merchants (Amazon, Flipkart, etc.); 1% cashback on all other spends; cashback as CashPoints redeemable against statement","Lounge access via Quarterly Spends Milestone program: gift voucher worth Rs.1,000 (redeemable for airport lounge access voucher) on spending Rs.1 lakh in a calendar quarter",,https://www.hdfc.bank.in/credit-cards/millennia-credit-card,matched,needs_review,"Fee table p.4, Millennia row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-equitas-excite,HDFC,Equitas Excite,retail,,500,500,₹1 Lakh / Annum,,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",RuPay,low,,,,,unmatched,needs_review,"Fee table p.4, Equitas Excite row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
hdfc-bizgrow,HDFC,BizGrow,retail,mid_tier,,,₹1 Lakh / Annum,,3.75,45.0,"2.5% of the amount withdrawn or ₹500, whichever is higher",All cash advances also carry a finance charge equal to charges on revolving credit (Refer schedule of charges) from the date of withdrawal until the date of full payment. Finance charges on cash advances are applicable from the date of transaction until the payment is made in full.,"<=₹100: Nil; ₹101 to ₹500: ₹100; ₹501 to ₹1,000: ₹500; ₹1,001 to ₹5,000: ₹600; ₹5,001 to ₹10,000: ₹750; ₹10,001 to ₹25,000: ₹900; ₹25,001 to ₹50,000: ₹1100; More than ₹50,000: ₹1300 (excl. GST, w.e.f 1st Oct 2025)",Visa/Mastercard,low,,,,https://www.hdfc.bank.in/business-credit-cards/biz-grow-credit-card,matched,needs_review,"Fee table p.4, BizGrow row",https://www.hdfc.bank.in/content/dam/hdfcbankpws/in/en/personal-banking/discover-products/cards/credit-cards/personal-mitc/mitc-in-english.pdf
